,region,year,accidents,deaths,injuries,driving_licenses,geo_point_2d,x,y,pop_females,pop_males,pop_total
311,Riyadh,2018,79884.0,1091.0,4554.0,493224,"23.0814341634,45.5857512766",23.0814341634,45.5857512766,3436880.0,5009986.0,8446866.0
312,Tabouk,1993,,,,3174,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
313,Tabouk,1994,,,,3282,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
314,Tabouk,1995,,,,2051,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
315,Tabouk,1996,,,,2263,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
316,Tabouk,1997,,,,5426,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
317,Tabouk,1998,,,,6823,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
318,Tabouk,1999,,,,5298,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
319,Tabouk,2000,,,,8473,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
320,Tabouk,2001,,,,6344,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
321,Tabouk,2002,,,,8794,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
322,Tabouk,2003,,,,9873,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
323,Tabouk,2004,,,,7532,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
324,Tabouk,2005,,,,6511,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
325,Tabouk,2006,,,,8259,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
326,Tabouk,2007,,,,11045,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
327,Tabouk,2008,,,,14928,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
328,Tabouk,2009,,,,9424,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
329,Tabouk,2010,,,,10345,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
330,Tabouk,2011,,,,12820,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
331,Tabouk,2012,,,,11391,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
332,Tabouk,2013,,,,12848,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
333,Tabouk,2014,,,,12188,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
334,Tabouk,2015,,,,915,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
335,Tabouk,2016,16031.0,434.0,1724.0,13610,"27.90165499, 37.2598581394",27.90165499,37.2598581394,391017.0,500796.0,891813.0
336,Tabouk,2017,11713.0,348.0,1243.0,10232,"27.90165499, 37.2598581394",27.90165499,37.2598581394,399086.0,512245.0,911331.0
337,Tabouk,2018,10034.0,293.0,977.0,7613,"27.90165499,37.2598581394",27.90165499,37.2598581394,406716.0,523791.0,930507.0
