,region,year,accidents,deaths,injuries,driving_licenses
155,Al-Jouf,1994,,,,2535.0
156,Al-Jouf,2004,,,,4601.0
157,Riyadh,2012,,,,23888.0
158,Riyadh,1993,,,,103886.0
159,Riyadh,1995,,,,101608.0
160,Riyadh,1994,,,,110545.0
161,Riyadh,2014,,,,194208.0
162,Riyadh,1996,,,,110131.0
163,Al-Jouf,2005,,,,3558.0
164,Al-Jouf,2008,,,,10929.0
165,Al-Jouf,2009,,,,10567.0
166,Northern Boarder,2010,,,,3064.0
167,Northern Boarder,1996,,,,1383.0
168,Northern Boarder,2002,,,,2268.0
169,Northern Boarder,2009,,,,3649.0
170,Jazan,2015,,,,13931.0
171,Jazan,2013,,,,14175.0
172,Jazan,2007,,,,12634.0
173,Jazan,2005,,,,5502.0
174,Najran,2015,,,,1864.0
175,Najran,1996,,,,3274.0
176,Najran,2008,,,,7938.0
177,Al-Baha,1999,,,,4246.0
178,Al-Baha,2000,,,,4832.0
179,Al-Baha,2001,,,,7594.0
180,Al-Baha,2007,,,,997.0
181,Al-Jouf,2015,,,,10233.0
182,Al-Jouf,1997,,,,3565.0
183,Al-Jouf,1998,,,,3476.0
184,Al-Jouf,2002,,,,5940.0
185,Al-Jouf,2006,,,,4846.0
186,Makkah,1993,,,,65977.0
187,Makkah,1995,,,,60356.0
188,Makkah,2001,,,,85593.0
189,Madinah,2001,,,,13561.0
190,Madinah,2006,,,,11204.0
191,Madinah,2009,,,,11574.0
192,Al-Qaseem,2016,,,,9180.0
193,Al-Qaseem,2001,,,,14718.0
194,Eastern,2013,,,,123325.0
195,Eastern,1996,,,,8461.0
196,Eastern,2002,,,,85035.0
197,Eastern,2000,,,,65767.0
198,Eastern,2001,,,,74119.0
199,Eastern,2006,,,,79517.0
200,Eastern,2007,,,,106511.0
201,Eastern,2008,,,,104626.0
202,Assir,2014,,,,29552.0
203,Assir,2011,,,,24515.0
204,Assir,1999,,,,14625.0
205,Assir,2002,,,,20417.0
206,Assir,2000,,,,18622.0
207,Assir,2006,,,,20330.0
208,Assir,2007,,,,10835.0
209,Tabouk,2015,,,,915.0
210,Tabouk,1993,,,,3174.0
211,Tabouk,1997,,,,5426.0
212,Tabouk,2002,,,,8794.0
213,Tabouk,2005,,,,6511.0
214,Hail,1993,,,,10484.0
215,Hail,1996,,,,10267.0
216,Hail,2003,,,,3861.0
217,Hail,2006,,,,8166.0
218,Northern Boarder,2003,,,,1705.0
219,Jazan,1995,,,,2284.0
220,Jazan,1998,,,,2613.0
221,Jazan,2003,,,,5220.0
222,Jazan,2004,,,,5016.0
223,Najran,1993,,,,3769.0
224,Najran,1997,,,,3073.0
225,Najran,2002,,,,5117.0
226,Najran,2005,,,,4779.0
227,Al-Baha,2010,,,,7076.0
228,Al-Baha,2013,,,,7482.0
229,Al-Baha,1997,,,,3027.0
230,Al-Baha,2006,,,,3593.0
231,Al-Jouf,1993,,,,2884.0
232,Al-Jouf,1995,,,,2270.0
233,Al-Jouf,1999,,,,3950.0
234,Al-Jouf,2007,,,,9097.0
235,Riyadh,2010,,,,31378.0
236,Riyadh,2003,,,,26076.0
237,Riyadh,2000,,,,45345.0
238,Riyadh,2006,,,,36059.0
239,Riyadh,2008,,,,36798.0
240,Makkah,2011,,,,110647.0
241,Madinah,2011,,,,14630.0
242,Madinah,1993,,,,4122.0
243,Madinah,2002,,,,10494.0
244,Madinah,2005,,,,10210.0
245,Al-Qaseem,2012,,,,11421.0
246,Al-Qaseem,2004,,,,9390.0
247,Al-Qaseem,2005,,,,10480.0
248,Eastern,2014,,,,121774.0
249,Eastern,2016,,,,142307.0
250,Eastern,2010,,,,110295.0
251,Eastern,1995,,,,7831.0
252,Eastern,1994,,,,10918.0
253,Eastern,1997,,,,58814.0
254,Eastern,2003,,,,82697.0
255,Eastern,2009,,,,108544.0
256,Assir,2017,,,,39133.0
257,Assir,2016,,,,41367.0
258,Assir,2013,,,,29730.0
259,Assir,2001,,,,20321.0
260,Assir,2005,,,,18565.0
261,Tabouk,2014,,,,12188.0
262,Tabouk,1995,,,,2051.0
263,Tabouk,2004,,,,7532.0
264,Hail,2015,,,,7172.0
265,Hail,2011,,,,9123.0
266,Hail,2012,,,,11082.0
267,Hail,1994,,,,11131.0
268,Hail,1998,,,,4708.0
269,Hail,2000,,,,3215.0
270,Northern Boarder,2015,,,,3837.0
271,Northern Boarder,2014,,,,5009.0
272,Northern Boarder,2013,,,,3921.0
273,Northern Boarder,1995,,,,1318.0
274,Northern Boarder,1994,,,,1457.0
275,Northern Boarder,1997,,,,1531.0
276,Northern Boarder,2007,,,,3479.0
277,Northern Boarder,2008,,,,3519.0
278,Jazan,2012,,,,11156.0
279,Jazan,1996,,,,2226.0
280,Jazan,2002,,,,5254.0
281,Jazan,2006,,,,7955.0
282,Riyadh,2015,,,,24548.0
283,Riyadh,1998,,,,114962.0
284,Riyadh,2002,,,,25423.0
285,Riyadh,2007,,,,36261.0
286,Riyadh,2004,,,,23479.0
287,Riyadh,2009,,,,38014.0
288,Makkah,1996,,,,46195.0
289,Najran,2014,,,,9601.0
290,Najran,2011,,,,7314.0
291,Najran,1994,,,,3880.0
292,Najran,1998,,,,4322.0
293,Najran,2001,,,,4950.0
294,Najran,2004,,,,4609.0
295,Al-Baha,2017,,,,4131.0
296,Al-Baha,2004,,,,3410.0
297,Al-Baha,2008,,,,5418.0
298,Al-Baha,2009,,,,9815.0
299,Al-Jouf,2011,,,,10180.0
300,Al-Jouf,2013,,,,11602.0
301,Al-Jouf,2003,,,,3852.0
302,Makkah,2002,,,,88593.0
303,Makkah,2003,,,,74236.0
304,Makkah,2007,,,,91902.0
305,Madinah,2015,,,,22744.0
306,Madinah,1997,,,,10495.0
307,Madinah,2008,,,,9194.0
308,Al-Qaseem,2011,,,,10760.0
309,Al-Qaseem,1993,,,,73618.0
310,Al-Qaseem,1997,,,,10092.0
311,Al-Qaseem,1999,,,,9983.0
312,Al-Qaseem,1998,,,,11350.0
313,Al-Qaseem,2002,,,,16298.0
314,Al-Qaseem,2008,,,,22236.0
315,Al-Qaseem,2009,,,,27571.0
316,Eastern,1993,,,,9964.0
317,Eastern,1999,,,,64973.0
318,Eastern,1998,,,,70650.0
319,Eastern,2004,,,,84984.0
320,Eastern,2005,,,,82505.0
321,Assir,2010,,,,21835.0
322,Assir,1993,,,,6226.0
323,Assir,1994,,,,5185.0
324,Assir,2004,,,,17947.0
325,Assir,2009,,,,21582.0
326,Tabouk,2012,,,,11391.0
327,Tabouk,1999,,,,5298.0
328,Tabouk,2000,,,,8473.0
329,Tabouk,2006,,,,8259.0
330,Hail,2013,,,,9731.0
331,Hail,1997,,,,6606.0
332,Hail,1999,,,,3139.0
